year,Place,Time,First.Name,Last.Name,Gender,Age,Lyon.Ridge,Red.Star.Ridge,Duncan.Canyon,Robinson.Flat,Miller's.Defeat,Dusty.Corners,Last.Chance,Devil's.Thumb,El.Dorado.Creek,Michigan.Bluff,Foresthill,Dardanelles.(Cal-1),Peachstone.(Cal-2),Rucky.Chucky,Green.Gate,Auburn.Lake.Trails,Brown's.Bar,Highway.49,No.Hands.Bridge,Robie.Point
1986,54,83313, Chris,Cole,M,23,NA,11160,NA,20820,NA,NA,28860,33240,NA,39720,46140,NA,NA,59760,NA,68640,NA,76860,NA,NA
1986,55,83482, Jeff,Hagen,M,39,NA,13140,NA,24120,NA,NA,33120,37620,NA,44220,49320,NA,NA,62760,NA,70560,NA,77820,NA,NA
1986,56,83556, Jerry,Guse,M,46,NA,12720,NA,23460,NA,NA,31740,36300,NA,43380,48420,NA,NA,61560,NA,69120,NA,76620,NA,NA
1986,57,83815, Thomas,Brezolzky,M,21,NA,12840,NA,24180,NA,NA,33600,37860,NA,44820,50220,NA,NA,63420,NA,70920,NA,78240,NA,NA
1986,58,83845, Bob,Silverman,M,38,NA,11760,NA,22020,NA,NA,30420,34740,NA,41640,46860,NA,NA,61260,NA,69360,NA,77580,NA,NA
1986,59,83859, Wayne,Christopherson,M,37,NA,12780,NA,24540,NA,NA,33600,38220,NA,45420,50340,NA,NA,63180,NA,70020,NA,77580,NA,NA
1986,60,83898, Daniel,Fowkes,M,24,NA,12000,NA,22500,NA,NA,31140,35580,NA,43080,48060,NA,NA,61620,NA,69000,NA,76920,NA,NA
1986,61,83931, Ben,Byman,M,35,NA,11100,NA,22620,NA,NA,31920,37620,NA,44340,49020,NA,NA,63840,NA,70320,NA,77520,NA,NA
1986,62,84251, Kent,Holder,M,47,NA,11640,NA,22380,NA,NA,31860,36360,NA,43320,48480,NA,NA,62760,NA,70560,NA,78120,NA,NA
1986,63,84275, Luke,Barber,M,41,NA,12420,NA,23520,NA,NA,32160,36600,NA,43380,48720,NA,NA,61620,NA,69420,NA,77160,NA,NA
1986,64,84398, Orin,Dahl,M,50,NA,11940,NA,22380,NA,NA,31860,36600,NA,43860,49500,NA,NA,62460,NA,70020,NA,77520,NA,NA
1986,65,84413, William,Thomas,M,29,NA,12240,NA,23340,NA,NA,32340,36600,NA,43800,49140,NA,NA,62460,NA,69900,NA,77580,NA,NA
1986,66,84640, Robert,Eichstaedt,M,39,NA,10380,NA,19740,NA,NA,27960,32160,NA,38400,43620,NA,NA,57840,NA,66000,NA,75300,NA,NA
1986,67,84651, Jeffrey,Vieyra,M,39,NA,11940,NA,22440,NA,NA,30900,35340,NA,42840,47700,NA,NA,61200,NA,69240,NA,77520,NA,NA
1986,68,84659, George,Kinnear,M,45,NA,12360,NA,23280,NA,NA,32700,37380,NA,44700,50220,NA,NA,63900,NA,71520,NA,78720,NA,NA
1986,69,84661, Frank,Williams,M,43,NA,11100,NA,20820,NA,NA,29280,34080,NA,41460,47820,NA,NA,63120,NA,70920,NA,78780,NA,NA
1986,70,84663, Michael,Modzelewski,M,32,NA,9840,NA,19080,NA,NA,26700,30900,NA,38220,44220,NA,NA,59880,NA,68100,NA,77700,NA,NA
1986,71,84859, Lynda,Locke,F,26,NA,12540,NA,23580,NA,NA,32640,37440,NA,44220,49200,NA,NA,62640,NA,70080,NA,78240,NA,NA
1986,72,84883, J.D.,Fischer,M,43,NA,12120,NA,23160,NA,NA,32220,36840,NA,44460,49740,NA,NA,63360,NA,70920,NA,78180,NA,NA
1986,73,84986, George E.,Kingston,M,46,NA,12360,NA,23280,NA,NA,32760,37380,NA,44700,50220,NA,NA,63960,NA,71520,NA,78780,NA,NA
1986,74,85088, Dennis,Hagele,M,42,NA,11100,NA,21240,NA,NA,30300,34440,NA,41880,47580,NA,NA,61320,NA,69900,NA,77820,NA,NA
1986,75,85145, Thomas,Green,M,35,NA,11640,NA,21720,NA,NA,31140,35940,NA,43800,49020,NA,NA,63180,NA,70500,NA,78600,NA,NA
1986,76,85333, Skip,Lees,M,41,NA,11820,NA,22080,NA,NA,30840,35340,NA,42900,48300,NA,NA,63240,NA,71220,NA,78900,NA,NA
1986,77,85378, George,Hall,M,35,NA,12840,NA,24300,NA,NA,33360,38040,NA,45300,51540,NA,NA,65940,NA,73560,NA,80280,NA,NA
1986,78,85418, Carol,La Plant,F,39,NA,11700,NA,21840,NA,NA,30480,34680,NA,41880,47460,NA,NA,59700,NA,69540,NA,78420,NA,NA
1986,79,85421, Gordy,Ainsleigh,M,39,NA,12540,NA,23820,NA,NA,33480,39240,NA,46740,52800,NA,NA,65880,NA,73260,NA,80160,NA,NA
1986,80,85449, Andy,Deters,M,45,NA,12120,NA,23040,NA,NA,32460,37260,NA,44640,50100,NA,NA,64140,NA,71640,NA,78960,NA,NA
1986,81,85454, Jim,Clover,M,44,NA,11640,NA,22140,NA,NA,31380,36480,NA,44100,49920,NA,NA,63840,NA,71400,NA,79080,NA,NA
1986,82,85472, R. W.,Derry,M,48,NA,12480,NA,23580,NA,NA,32760,37440,NA,44580,49620,NA,NA,63300,NA,71280,NA,79380,NA,NA
1986,83,85549, Mike,Callen,M,35,NA,11400,NA,21900,NA,NA,30900,35640,NA,43920,49260,NA,NA,65340,NA,73080,NA,80340,NA,NA
1986,84,85561, Nick,Bassett,M,41,NA,12000,NA,22200,NA,NA,30840,35340,NA,42900,48180,NA,NA,65460,NA,72780,NA,79980,NA,NA
1986,85,85597, John,Bates,M,40,NA,10800,NA,20820,NA,NA,29700,34680,NA,41580,46920,NA,NA,61860,NA,70020,NA,78240,NA,NA
1986,86,85609, Dick,Vincent,M,34,NA,11220,NA,21600,NA,NA,31320,35640,NA,42900,48600,NA,NA,63540,NA,71400,NA,79260,NA,NA
1986,87,85613, Ronald,Shaw,M,33,NA,13200,NA,23940,NA,NA,33300,37920,NA,45540,51240,NA,NA,65340,NA,72960,NA,80100,NA,NA
1986,88,85613, Robert,Shaw,M,33,NA,13200,NA,23940,NA,NA,33300,37920,NA,45540,51240,NA,NA,65340,NA,73020,NA,80160,NA,NA
1986,89,85626, Juneus,Kendall,M,55,NA,13200,NA,24300,NA,NA,33600,38940,NA,46980,51960,NA,NA,65220,NA,72660,NA,79980,NA,NA
1986,90,85904, Joseph,George,M,55,NA,12660,NA,23940,NA,NA,33120,37620,NA,44820,50460,NA,NA,64080,NA,72060,NA,79680,NA,NA
1986,91,86111, Uwe,Nikoley,M,38,NA,12120,NA,23340,NA,NA,32580,37140,NA,44700,50520,NA,NA,64980,NA,73440,NA,80640,NA,NA
1986,92,86134, Donald,Watts,M,43,NA,12360,NA,23280,NA,NA,32700,37500,NA,44940,50220,NA,NA,65220,NA,73140,NA,80400,NA,NA
1986,93,86159, Joe,Hernandez,M,42,NA,12660,NA,23220,NA,NA,32640,37260,NA,45180,51120,NA,NA,65760,NA,73560,NA,80880,NA,NA
1986,94,86228, David E.,Simington,M,55,NA,12900,NA,24900,NA,NA,35100,39840,NA,46740,52320,NA,NA,66120,NA,73980,NA,81060,NA,NA
1986,95,86304, Gary,Cross,M,26,NA,10200,NA,19920,NA,NA,29520,34380,NA,42420,48960,NA,NA,64320,NA,73020,NA,81120,NA,NA
1986,96,86489, Nancy,March,F,39,NA,13320,NA,24360,NA,NA,33480,38520,NA,45960,52080,NA,NA,65700,NA,73200,NA,80520,NA,NA
1986,97,87133, David,Samuelson,M,36,NA,13200,NA,24780,NA,NA,34380,39240,NA,47400,54720,NA,NA,68040,NA,74580,NA,81180,NA,NA
1986,98,87402, Michael,McMahan,M,38,NA,11640,NA,22140,NA,NA,31140,35700,NA,43500,49680,NA,NA,65820,NA,73560,NA,81120,NA,NA
1986,99,88200, Martin,Hillyer,M,48,NA,11700,NA,22980,NA,NA,31680,36180,NA,43140,49020,NA,NA,63180,NA,71340,NA,80160,NA,NA
1986,100,88478, Ruth Ann,Bortz,F,55,NA,13800,NA,25260,NA,NA,34800,39660,NA,46740,52260,NA,NA,66300,NA,73620,NA,81540,NA,NA
1986,101,88661, Boyd,Jack,M,47,NA,10860,NA,21180,NA,NA,30240,34680,NA,42360,48360,NA,NA,64680,NA,73260,NA,81060,NA,NA
1986,102,88746, James,Konen,M,51,NA,12060,NA,23220,NA,NA,32580,37440,NA,44940,50700,NA,NA,64860,NA,72960,NA,81180,NA,NA
1986,103,88953, Wendell J.,Robison,M,34,NA,12600,NA,23880,NA,NA,33960,38700,NA,46140,51420,NA,NA,66360,NA,74760,NA,81840,NA,NA
1986,104,89085, Ronald,Herzog,M,48,NA,11340,NA,22200,NA,NA,31980,36840,NA,44220,50040,NA,NA,65880,NA,73740,NA,81660,NA,NA
1986,105,89319, Judith,Milgram,F,44,NA,12900,NA,24300,NA,NA,33720,38160,NA,45480,51060,NA,NA,65760,NA,73920,NA,82020,NA,NA
1986,106,89402, Neil,O'Brien,M,43,NA,10560,NA,21120,NA,NA,30360,35340,NA,43500,49800,NA,NA,66360,NA,74640,NA,81960,NA,NA
1986,107,90777, Marcy,Schwam,F,33,NA,11460,NA,22080,NA,NA,30900,35580,NA,43620,49200,NA,NA,63900,NA,72420,NA,81420,NA,NA
1986,108,91018, Gregory,Marbett,M,31,NA,12900,NA,23760,NA,NA,33000,37620,NA,45300,51360,NA,NA,66360,NA,75000,NA,83340,NA,NA
1986,109,91092, Dennis,Coffee,M,38,NA,12660,NA,24300,NA,NA,33720,39060,NA,45600,53340,NA,NA,67380,NA,76200,NA,84120,NA,NA
1986,110,91386, Gary,Aglietti,M,41,NA,12840,NA,24120,NA,NA,33780,39000,NA,49320,54480,NA,NA,67980,NA,75480,NA,82200,NA,NA
1986,111,91625, Jan,Levet,F,35,NA,12180,NA,23100,NA,NA,31920,36900,NA,44820,50760,NA,NA,65400,NA,73800,NA,82620,NA,NA
1986,112,92002, Paul,Gaetano,M,44,NA,12540,NA,23940,NA,NA,32880,37440,NA,44760,50220,NA,NA,65940,NA,73920,NA,82320,NA,NA
1986,113,92201, Victor,Harris,M,29,NA,11160,NA,21120,NA,NA,29280,34140,NA,42840,49620,NA,NA,64080,NA,76920,NA,85920,NA,NA
1986,114,92228, Gene E.,Green,M,40,NA,11040,NA,20580,NA,NA,29040,34080,NA,41880,48420,NA,NA,66060,NA,74580,NA,84180,NA,NA
1986,115,92285, Bill,Farrell,M,32,NA,13440,NA,24900,NA,NA,35160,40020,NA,47580,52800,NA,NA,68520,NA,77520,NA,87120,NA,NA
1986,116,92735, Marc,Seif,M,34,NA,12420,NA,23220,NA,NA,32220,37140,NA,44400,50220,NA,NA,65400,NA,73020,NA,82680,NA,NA
1986,117,92781, Carl,Touchstone,M,45,NA,13860,NA,25740,NA,NA,35160,40260,NA,48120,53640,NA,NA,68160,NA,75960,NA,84180,NA,NA
1986,118,93068, Bill,Beddor,M,58,NA,13080,NA,24540,NA,NA,34500,39420,NA,46800,52140,NA,NA,66120,NA,75420,NA,85260,NA,NA
1986,119,93115, Dave,Kim,M,43,NA,13260,NA,24780,NA,NA,34740,39420,NA,47280,52740,NA,NA,67560,NA,76800,NA,85980,NA,NA
1986,120,93627, Steven,Barr,M,30,NA,10620,NA,21120,NA,NA,30420,35160,NA,43020,48900,NA,NA,65460,NA,75300,NA,86160,NA,NA
1986,121,94241, John,Vonhoff,M,39,NA,13380,NA,25620,NA,NA,36240,41280,NA,48660,54480,NA,NA,69300,NA,78060,NA,87120,NA,NA
1986,122,94330, Patrick,McKenzie,M,46,NA,12240,NA,23700,NA,NA,32940,37620,NA,45180,50820,NA,NA,66840,NA,76140,NA,87120,NA,NA
1986,123,94683, Ruben,Alarcon,M,41,NA,11760,NA,22800,NA,NA,32700,37800,NA,46560,52260,NA,NA,68760,NA,76860,NA,84540,NA,NA
1986,124,94745, Don,Bradford,M,57,NA,12060,NA,22980,NA,NA,32880,37500,NA,46500,52020,NA,NA,67020,NA,77220,NA,87120,NA,NA
1986,125,94917, Susan,King,F,32,NA,13200,NA,24660,NA,NA,34620,39840,NA,47520,53100,NA,NA,68880,NA,77700,NA,87420,NA,NA
1986,126,94923, J.R. Dirty,Linville,M,37,NA,12060,NA,23100,NA,NA,32760,38040,NA,47820,53520,NA,NA,69780,NA,79680,NA,88920,NA,NA
1986,127,95326, Ed,Richardson,M,34,NA,12660,NA,23880,NA,NA,33180,37620,NA,45120,50580,NA,NA,66540,NA,76260,NA,86820,NA,NA
1986,128,96271, Walt,Johnson,M,56,NA,12480,NA,23640,NA,NA,33300,37980,NA,45000,50700,NA,NA,67980,NA,78360,NA,89520,NA,NA
1986,129,96721, Ron,Lowy,M,43,NA,12180,NA,23400,NA,NA,33240,38340,NA,45540,52260,NA,NA,67560,NA,78900,NA,90480,NA,NA
1986,130,96828, Tom,Winter,M,37,NA,12420,NA,23160,NA,NA,32520,37740,NA,45900,52020,NA,NA,68760,NA,80760,NA,90480,NA,NA
1986,131,96905, Paul Andrew,Lee,M,35,NA,15060,NA,27540,NA,NA,38220,43140,NA,50940,57060,NA,NA,73620,NA,82740,NA,91080,NA,NA
1986,132,97360, Warren,Smith,M,32,NA,11700,NA,22380,NA,NA,31740,36660,NA,44640,50520,NA,NA,66240,NA,75840,NA,87600,NA,NA
1986,133,97505, Bill,Yawn,M,40,NA,11460,NA,22020,NA,NA,31560,36180,NA,43440,48600,NA,NA,63240,NA,72780,NA,83880,NA,NA
1986,134,97816, Harry L.,Deupree Jr.,M,48,NA,12780,NA,24000,NA,NA,33120,37620,NA,45300,50820,NA,NA,67680,NA,79380,NA,91260,NA,NA
1986,135,97818, Debbie,Deupree,F,32,NA,12780,NA,24000,NA,NA,33120,37620,NA,44760,50820,NA,NA,67680,NA,79380,NA,91260,NA,NA
1986,136,97932, Jim,McIntosh,M,33,NA,9840,NA,20460,NA,NA,31740,37620,NA,48060,53700,NA,NA,71760,NA,81840,NA,91380,NA,NA
1986,137,98115, Warren,Hellman,M,51,NA,12240,NA,23700,NA,NA,33660,38880,NA,46620,52800,NA,NA,69720,NA,79920,NA,90300,NA,NA
1986,138,98130, Thomas,O'Connell Jr.,M,35,NA,12120,NA,23160,NA,NA,32580,37440,NA,44760,50340,NA,NA,66060,NA,75900,NA,88860,NA,NA
1986,139,98205, Cowman,Shirk,M,42,NA,12780,NA,23580,NA,NA,34500,37860,NA,45300,51240,NA,NA,68520,NA,83580,NA,91860,NA,NA
1986,140,98208, Phillip,Shattuck,M,42,NA,13980,NA,26760,NA,NA,38040,43260,NA,50880,56460,NA,NA,73500,NA,83580,NA,91860,NA,NA
1986,141,98374, Dick,Collins,M,52,NA,13440,NA,24660,NA,NA,34440,39240,NA,47040,53160,NA,NA,72960,NA,83220,NA,91860,NA,NA
1986,142,98694, Edward,Weadock,M,54,NA,12780,NA,24180,NA,NA,33960,38700,NA,46860,52800,NA,NA,69360,NA,80280,NA,92340,NA,NA
1986,143,98778, Herb,Tanimoto,M,38,NA,13320,NA,24420,NA,NA,33480,38520,NA,46020,51840,NA,NA,67560,NA,79740,NA,91140,NA,NA
1986,144,98951, William,Smith,M,51,NA,12060,NA,21840,NA,NA,30900,35160,NA,42420,48240,NA,NA,63900,NA,76080,NA,91080,NA,NA
1986,145,98990, Harry,Feusi,M,40,NA,13320,NA,25320,NA,NA,35940,40920,NA,49680,55680,NA,NA,74580,NA,83760,NA,92640,NA,NA
1986,146,99105, William,Johnson,M,41,NA,13320,NA,25080,NA,NA,35460,40140,NA,48180,54360,NA,NA,71040,NA,81540,NA,92400,NA,NA
1986,147,99106, Sam,Lambourne,M,38,NA,10620,NA,20640,NA,NA,28560,33240,NA,41580,48060,NA,NA,71040,NA,81540,NA,92460,NA,NA
1986,148,99155, Jon,Skaglund,M,45,NA,13020,NA,24480,NA,NA,33900,38880,NA,46620,52200,NA,NA,68640,NA,80340,NA,91080,NA,NA
1986,149,99316, John E.,Strom,M,45,NA,12120,NA,22500,NA,NA,33240,37800,NA,46860,52740,NA,NA,71100,NA,82320,NA,92040,NA,NA
1986,150,99534, Barbara,Spahr,F,42,NA,13980,NA,25800,NA,NA,35760,40860,NA,48960,55260,NA,NA,71760,NA,82080,NA,92160,NA,NA
1986,151,99553, Bob,Reid,M,39,NA,10620,NA,21180,NA,NA,30540,35160,NA,43020,48840,NA,NA,65640,NA,74520,NA,88860,NA,NA
1986,152,99585, John,Fazel,M,49,NA,13740,NA,26400,NA,NA,36360,41880,NA,50460,56700,NA,NA,75240,NA,85920,NA,93300,NA,NA
1986,153,99847, David,Holland,M,43,NA,13740,NA,26040,NA,NA,36180,41340,NA,49140,54660,NA,NA,71940,NA,81960,NA,92580,NA,NA
1986,154,99882, David,Kamp,M,38,NA,13740,NA,25560,NA,NA,35700,40440,NA,48420,54360,NA,NA,71040,NA,81540,NA,92220,NA,NA
1986,155,99910, Ken,Lake,M,37,NA,13740,NA,26040,NA,NA,36060,41400,NA,50520,55920,NA,NA,74760,NA,83580,NA,92160,NA,NA
1986,156,99976, Dennis,Scott,M,38,NA,12000,NA,22560,NA,NA,31380,36000,NA,43860,49740,NA,NA,65940,NA,85200,NA,93480,NA,NA
1986,157,100645, Charles,Fritz,M,37,NA,13320,NA,24660,NA,NA,35040,40560,NA,48060,53160,NA,NA,69240,NA,79320,NA,91080,NA,NA
1986,158,101007, Agatha-Sue,Lee,F,46,NA,13500,NA,25560,NA,NA,36420,41760,NA,50520,56100,NA,NA,74580,NA,84780,NA,93540,NA,NA
1986,159,101142, Bill,McKean,M,36,NA,11040,NA,20940,NA,NA,34260,40560,NA,47640,54720,NA,NA,75840,NA,85080,NA,93600,NA,NA
1986,160,101189, Gordon,Dugan,M,53,NA,12780,NA,24780,NA,NA,33480,38640,NA,47220,54360,NA,NA,74460,NA,85560,NA,94500,NA,NA
1986,161,101280, Hutch,Gibb,M,40,NA,13200,NA,24780,NA,NA,34860,39840,NA,48420,55320,NA,NA,73380,NA,83460,NA,92940,NA,NA
1986,162,101422, Jack,Rohde-Moe,M,57,NA,12420,NA,23700,NA,NA,33060,38040,NA,46440,52020,NA,NA,70440,NA,81540,NA,92520,NA,NA
1986,163,101548, William,Elkman,M,34,NA,12060,NA,23940,NA,NA,34980,39900,NA,48240,55440,NA,NA,75840,NA,86940,NA,95040,NA,NA
1986,164,101593, Max,Hooper,M,39,NA,14040,NA,26100,NA,NA,36840,42120,NA,50520,55980,NA,NA,74940,NA,84780,NA,93780,NA,NA
1986,165,101788, Joseph,Johnson,M,36,NA,12060,NA,22620,NA,NA,32580,37740,NA,46680,52620,NA,NA,72240,NA,81900,NA,92520,NA,NA
1986,166,102135, Paul,Lind,M,18,NA,12900,NA,24720,NA,NA,36600,42420,NA,49260,55200,NA,NA,71820,NA,85860,NA,94200,NA,NA
